commit bf0ef4e396af05afe1d978d1dbca93e2a7604478 248 
commit 7a0dcdb05e5fbd9f4fb00b1e4f16b31cb6ef063b 1063 
commit 636828acec6abbf5398ac57674d74184cf478d36 245 
commit 75334041cf60b5bf4886f26e53f59a2c04f542c0 238 
commit be5ba83a03c9e9cf1459d7e93633b62892b8a90e 189 
tree 612a8e779cb92456f24739ce89ff180380248f51 413 
blob 5c4e94d3d1a3d99466971bbb3cc29ee4b66e4c5a 904 .gitignore
blob e69de29bb2d1d6434b8b29ae775ad8c2e48c5391 0 .npmrc
tree 007ef14563e991f022b8d7f1553cd6e14168c49b 41 .vscode
blob 7b016a89fbafd4b802a61d3207cf76f7c2253c6e 53 .vscode/settings.json
blob ffc8d611dabaae02a53a3aa9ef6ce1a7a520cce5 1304 README.md
tree b2eb57c59e8b94d306acc5189b071d98b506d4ae 69 apps
tree 448fb4e438a9179711dee91585944d58d96cfdfb 409 apps/backend
tree a5bbb048e07a0d48d34759b0a280ca78210ef296 186 apps/backend/.gradle
tree 6ab3c468420012ed81e93cd13512559b5b7b4df0 195 apps/backend/.gradle/9.0.0
tree 8c5070d321dde7a03efea2af6c2b5120e88a6d33 133 apps/backend/.gradle/9.0.0/checksums
blob 8d7fca94bf9f56f3605e3ec04db2c46618ba92fe 17 apps/backend/.gradle/9.0.0/checksums/checksums.lock
blob 5fa651fd2d70198ede5b9b3a12ee0c45ec976b7c 33747 apps/backend/.gradle/9.0.0/checksums/md5-checksums.bin
blob 9cc319a7824401d073d580d81ad699a52b5370d5 81563 apps/backend/.gradle/9.0.0/checksums/sha1-checksums.bin
tree 5c3cf9ad0a02353d9f72975e43b9457a1db5a48a 97 apps/backend/.gradle/9.0.0/executionHistory
blob a16ed05f88c7891d2b24de15ffb4f0ee056d02d7 272489 apps/backend/.gradle/9.0.0/executionHistory/executionHistory.bin
blob c433b812127ca67195a34da3b79a23b2f93edeae 17 apps/backend/.gradle/9.0.0/executionHistory/executionHistory.lock
tree 567d90cc85a313b1125333af3b34d12ef4f1d28e 42 apps/backend/.gradle/9.0.0/fileChanges
blob f76dd238ade08917e6712764a16a22005a50573d 1 apps/backend/.gradle/9.0.0/fileChanges/last-build.bin
tree af8e7a76d9ea6bdc64ea98db592968c17eb4da42 136 apps/backend/.gradle/9.0.0/fileHashes
blob 72cf61835928376d629c2076a049f8730eceef49 20147 apps/backend/.gradle/9.0.0/fileHashes/fileHashes.bin
blob 25dbc8e50966506a334faab6c03098920378ae84 17 apps/backend/.gradle/9.0.0/fileHashes/fileHashes.lock
blob 9e61012a58e1119aa2661255ccd0f89e4a427a52 18905 apps/backend/.gradle/9.0.0/fileHashes/resourceHashesCache.bin
tree 374fa222e77db42b23f05fb1e214e7c869a85dd0 195 apps/backend/.gradle/9.2.0
tree 9af14ccc452b8d9e69e4c84291a1d7b4fef6de3a 133 apps/backend/.gradle/9.2.0/checksums
blob 95d00d603cf5a77c3a33b9bf378b8fbc9bd70f26 17 apps/backend/.gradle/9.2.0/checksums/checksums.lock
blob 6be73372f3cda3f0e8f0f48becdbaa443b20a810 24647 apps/backend/.gradle/9.2.0/checksums/md5-checksums.bin
blob 6e9aaf28a72d7199433c0c719ad9b32d1582aef2 44687 apps/backend/.gradle/9.2.0/checksums/sha1-checksums.bin
tree cc3e282a4ee5aa06f3fd0c7d947ec23e323fd944 97 apps/backend/.gradle/9.2.0/executionHistory
blob 5e7c1d33fa7ef3031db119d6aff6ce1d4e14ed88 34803 apps/backend/.gradle/9.2.0/executionHistory/executionHistory.bin
blob 25ecfbeae8b5ad90ac7894c65944c357acce4f50 17 apps/backend/.gradle/9.2.0/executionHistory/executionHistory.lock
tree 61c60cdece6f89c4f2a26fb6adf33b34135cc9aa 136 apps/backend/.gradle/9.2.0/fileHashes
blob 52d65169531bc6db0835f8fd967bc4a0ec5f1708 18697 apps/backend/.gradle/9.2.0/fileHashes/fileHashes.bin
blob 47a41012cae99d9dd67f6c724f14db8cec4f3c57 17 apps/backend/.gradle/9.2.0/fileHashes/fileHashes.lock
blob 84631aaa5617a3d7812b2add75b37000f1667211 18531 apps/backend/.gradle/9.2.0/fileHashes/resourceHashesCache.bin
tree 62c0c84c0eca098ffb24ff05fae9fca751e97aa4 138 apps/backend/.gradle/buildOutputCleanup
blob 0f8833793666fc7b7a73b2cefaa073b2d0ce48d0 17 apps/backend/.gradle/buildOutputCleanup/buildOutputCleanup.lock
blob c6c386ea75374319416c87ec4dfeb8396a5d3cff 51 apps/backend/.gradle/buildOutputCleanup/cache.properties
blob b609fe948822dc87c757d286efa4363e30d565b3 19073 apps/backend/.gradle/buildOutputCleanup/outputFiles.bin
blob 91faf52d192ea72db8f7c5386edd0eea37e84d8e 8 apps/backend/.gradle/file-system.probe
tree 89c87369bf48fc835534e6626440ba546e435f51 41 apps/backend/.gradle/vcs-1
blob 96f7193126f4ff9bca5aeb74742a50fbfcef8efa 6857 apps/backend/boot_log.txt
blob 822e91ed61e41a4bff558aeb842e08645646de69 716 apps/backend/build.gradle
blob d8f46cc6ec63ae98fe621d4a6994d1c745027669 1342 apps/backend/build_log.txt
tree 9c33c53d6984b88a597fff7b452149f3c8a1cd34 34 apps/backend/gradle
tree 9c9244cbf0ce87cc4688bd9b007f3a035ae9bfd2 99 apps/backend/gradle/wrapper
blob 8bdaf60c75ab801e22807dde59e12a8735a34077 45457 apps/backend/gradle/wrapper/gradle-wrapper.jar
blob 2a84e188b85a31f9b4c2aa930ce9288fb6dc6936 252 apps/backend/gradle/wrapper/gradle-wrapper.properties
blob ef07e0162b183eb9d19a2c9ba7035c283af9f8dd 8728 apps/backend/gradlew
blob db3a6ac207e507b0bc1635a9f2c18d3b174e682e 2843 apps/backend/gradlew.bat
blob 49d91447d07723bd8d782d55f95f7377aff807ec 205 apps/backend/package.json
blob 0f5036dcc20c98777024d86546cd03aa9307dedd 29 apps/backend/settings.gradle
tree c5c7254d90687f003ac221d351f8a70abf4d2ab9 31 apps/backend/src
tree e7c98afbe1bc94d74509a3f12f2c537740e3fe1e 67 apps/backend/src/main
tree 0c621c704468b22e01c28e9c995c9d7cd885965d 30 apps/backend/src/main/java
tree daa134341bc3a697ae0dab4d2cfcfaa20a220860 39 apps/backend/src/main/java/com
tree ebbd07370c1675c43932480831a5c759c8f9d505 255 apps/backend/src/main/java/com/docharvester
blob 9aa8b37e49d1a759f88e0ea199c29a1910400a74 323 apps/backend/src/main/java/com/docharvester/BackendApplication.java
tree 2f04638db0d49ef205c1aaa54c859ce9487b2dee 87 apps/backend/src/main/java/com/docharvester/config
blob 2f2d317541d528aea85b2f2a33aed86565f316c1 929 apps/backend/src/main/java/com/docharvester/config/AsyncConfig.java
blob 62df8e5915b491a60f7e609b3d831997fcf0451d 661 apps/backend/src/main/java/com/docharvester/config/CorsConfig.java
tree 6e408a6bb5a6fae453a81de2109d47bbf2e48dff 53 apps/backend/src/main/java/com/docharvester/controller
blob 766e3cba4c8decaa453b2f09b91a63bf1d9225b0 3314 apps/backend/src/main/java/com/docharvester/controller/ConversionController.java
tree a55d0489abae861def7ecf8c5ef7aa835bfd941e 47 apps/backend/src/main/java/com/docharvester/domain
blob 30f7cf91b856fc6d1125d378c6d5bd1a5273f6a1 1583 apps/backend/src/main/java/com/docharvester/domain/ConversionTask.java
tree 1487d058ec65f3b2a0f8a32b2b6ca208973f144e 50 apps/backend/src/main/java/com/docharvester/dto
blob 66841c12402b3eb15f2621165b22b1b292b744a2 221 apps/backend/src/main/java/com/docharvester/dto/ExtractionRequest.java
tree cba987550210b3c0d1e07400bc0b6500da077541 57 apps/backend/src/main/java/com/docharvester/repository
blob f00e9e4e99c336c26401d4cbbf9f9d1f98013854 360 apps/backend/src/main/java/com/docharvester/repository/ConversionTaskRepository.java
tree a7a7fed785ed4ad2bd1c77f506bb7cb578dc8b48 57 apps/backend/src/main/java/com/docharvester/service
blob 92ca37d1f56c5c110c74f4b01040a011d21c4981 7966 apps/backend/src/main/java/com/docharvester/service/ContentExtractionService.java
tree 157d5e07a42e3aa2c4c6fcaa1a081fd7d549adc1 50 apps/backend/src/main/resources
blob 4006f2aed512d7c0353be4646e69af2afc1b340f 593 apps/backend/src/main/resources/application.properties
tree c8d4a3d4f0db169e556b6ac873f594c1ac362e2e 31 apps/backend/storage
tree bbd0d60217a5eb6eecc764b3f4714dbbb2819f30 917 apps/backend/storage/temp
blob 1e4b2ce2659f00193b5161763035d27cf6b4fe4d 50186237 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a.zip
tree 72b619a294e6406242ffda6580787dcea070984e 4650 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a
blob d720148d5218607a7fe67aa31d7d7066f0ae1610 193123 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_1.pdf
blob 1db7b41873e5af3ab9606d042b60c6a51fe60c88 1326565 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_10.pdf
blob 8a67c555b56c665f0fa16ca59f4cdb968acc8e40 421874 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_100.pdf
blob 5999ec0e1744e9b119026b8fdf004d6744ef8f04 574678 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_101.pdf
blob 27b8f82732d6983847a7db07f3232d46ecd8bde6 583989 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_102.pdf
blob ea09d191da8145e3133e5e76e5abc76d4e1ce0c1 595475 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_103.pdf
blob 408f4a3481860c339a08f8a2974f03115318baf8 552541 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_104.pdf
blob 8fc54613a1d2d0d4f34f19a655a9fd15c81d030b 226710 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_105.pdf
blob c84c37df439dc1ba5ac2932227f088d8e6bedf89 1578078 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_106.pdf
blob 05798c67548c09f1e748b82205652535e52d522c 622702 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_107.pdf
blob 33caf8b322d56b98c971b4f05d7b625a4d616b21 661016 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_108.pdf
blob ed28465b1ca23b2f45dd4f6a3d70f28a0044374f 1426719 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_109.pdf
blob 5c5ed5bf892c17c3108fd1e29af2bdccb17d8e37 1042412 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_11.pdf
blob 08b7888ce6a6112eb587ae76ae165930485807ba 1043785 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_110.pdf
blob bbd55efe9765fc6aa03ede62022016943f904ed5 158736 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_111.pdf
blob 897139b10cd1223ccba6d5626b60aa77c0d61e53 1104420 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_112.pdf
blob c881186ee61076da1f05aacabd7fc459d583bafe 931024 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_113.pdf
blob 8e69e4fab1de6d347113ed420deb0fe218641741 181357 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_114.pdf
blob 5a4eeb049240fc493bf86a9da7f8adb42d357adf 2965452 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_115.pdf
blob 0ecf3c6f2513b7d0cf1d63a9ec5189a19966ab27 2069548 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_116.pdf
blob b69373c93cbc66ef1a0da713c0a99ec3d8f5ca8d 5037408 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_117.pdf
blob 00483d5de47f574f17df823e2e0cf01a9f4cbed9 1101336 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_118.pdf
blob 0e893b3ff6f57fcb304683e643cf72920d41177a 949642 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_119.pdf
blob 7809a2e910bcfb891b0e1e17f3674690f473dc7e 673755 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_12.pdf
blob 52f5a6ba005ed348c8cb2a28ac7f04f67a6eef1f 2109552 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_120.pdf
blob 105b7e0e4c908e2e849a9242825a72aafe74623b 537160 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_121.pdf
blob 57ccc56a7f49e8fd09ad29364d2c86129a5da443 949886 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_122.pdf
blob 2a3dcd3dd7b89c6f46072c17e0638e3756957c39 998611 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_13.pdf
blob 0c20479e78758ff617324a0fd0ca87ec9e9290e2 3066004 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_14.pdf
blob b6862413683f50ce948111639c5f83bd134410a8 599481 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_15.pdf
blob 46ed651ea8c43fce377c78bb060c7a7740edc194 2548826 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_16.pdf
blob f9468cc565b726f0c1452b058e0e22a44a79abe9 1690840 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_17.pdf
blob acd2287982f9e8ee2b70c1f38fe9742100602ac1 2925284 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_18.pdf
blob d86531df41135e20c1ecb7973912863d57ff6204 1879742 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_19.pdf
blob b8caff7a3ca2a911b1f0904473969cb3b9fb5cae 519499 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_2.pdf
blob 5d988f8cad8393f85c3426facf42605e6b887eb7 3275766 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_20.pdf
blob b17610d6ef7618403c696ca26d31fc4744426e3a 1396875 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_21.pdf
blob 525f75f7405ae957ff17b73d9da7fc021cbc3a54 648463 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_22.pdf
blob a16ab46bcb26b7e1dbc7860b14b566365b9d04e7 2766572 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_23.pdf
blob 6d65317ee156282c35c40e417255180cc07c4d56 2349942 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_24.pdf
blob 109fa5bef9f351f3aa66222d22f77939ea9e9f15 2750460 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_25.pdf
blob 580fe39e8f6f5c42ec5cf7dc04b7fc4c21cb51d4 3008489 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_26.pdf
blob c90dd8df8e655f56161cc2769fa022b918f7f083 272006 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_27.pdf
blob 0c75e3eee300f1c5215e47ad8e7100b3381568dc 827235 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_28.pdf
blob 402f5286692fe902936db924c7a3d57fdb43e743 745596 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_29.pdf
blob 7b3bc5ccbfe7b600e07c7bca97768c49d3cf59bf 920942 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_3.pdf
blob e3b08750d84d317c34d0274ebb8509aa968ce5e8 1689499 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_30.pdf
blob d0e2a9d94f22fd919feaa90f8f0982481ff7ec71 681335 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_31.pdf
blob ec8e0a8be381d1f74d4e603bb779b738470732ab 930437 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_32.pdf
blob 814abe6deb020857bb4554ea9c2ceb8b30d3e7f9 1074379 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_33.pdf
blob 8b138474de90eabd61b842164b48b153b6dc380f 816371 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_34.pdf
blob 2809a8225f31f4bb03016a93f50ffa37ee8740a6 1629488 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_35.pdf
blob e53855a13e832c5e1a6e025893f7548c2de613b4 493937 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_36.pdf
blob ca6c2bc7be31616344684dd4d3043243ccfcdb2e 1562918 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_37.pdf
blob 7f7d36d5afa62eccacce57321c9be9619efb2a6d 539748 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_38.pdf
blob 7283d67402a2bd59541271ea756462db3e4014ad 687660 apps/backend/storage/temp/2bc83183-6f36-4d9a-8a47-7d8cdcf6de5a/doc_39.pdf
